,date,home,home_score,away,away_score,winner
0,2015-11-13,Hawaii,87,Montana State,76,Hawaii
1,2015-11-13,Eastern Mich.,70,Vermont,50,Eastern Mich.
2,2015-11-13,Columbia,107,Kean,62,Columbia
3,2015-11-13,La.-Monroe,88,McMurry,43,La.-Monroe
4,2015-11-13,Yale,70,Fairfield,57,Yale
5,2015-11-13,North Dakota,99,Minn.-Morris,69,North Dakota
6,2015-11-13,Central Mich.,89,Jacksonville State,83,Central Mich.
7,2015-11-13,Army,93,Ferrum,54,Army
8,2015-11-13,Northern Iowa,68,Colorado,62,Northern Iowa
9,2015-11-13,Ole Miss,90,Northwestern State,76,Ole Miss
10,2015-11-13,Wright St.,77,South Dakota,69,Wright St.
11,2015-11-13,Penn State,76,Robert Morris,75,Penn State
12,2015-11-13,Sacred Heart,76,Quinnipiac,64,Sacred Heart
13,2015-11-13,St. John's (NY),66,Wagner,57,St. John's (NY)
14,2015-11-13,Georgia Southern,73,Middle Ga. St.,54,Georgia Southern
15,2015-11-13,Clemson,74,N.C. Central,40,Clemson
16,2015-11-13,Rutgers,72,Rutgers,59,Rutgers
17,2015-11-13,Duke,92,Siena,74,Duke
18,2015-11-13,UNC Wilmington,100,Milligan,62,UNC Wilmington
19,2015-11-13,Michigan State,82,Fla. Atlantic,55,Michigan State
20,2015-11-13,Dayton,84,Southeast Mo. St.,53,Dayton
21,2015-11-13,Liberty,64,Covenant,62,Liberty
22,2015-11-13,Duquesne,96,Seton Hill,71,Duquesne
23,2015-11-13,FIU,71,Trinity Baptist,39,FIU
24,2015-11-13,Villanova,91,Fairleigh Dickinson,54,Villanova
25,2015-11-13,Furman,63,Presbyterian,53,Furman
26,2015-11-13,Maryland-Eastern Shore,80,Mt. St. Mary's,56,Maryland-Eastern Shore
27,2015-11-13,Purdue Fort Wayne,81,N.C. A&T,40,Purdue Fort Wayne
28,2015-11-13,Virginia Tech,107,Northern Ky.,61,Virginia Tech
29,2015-11-13,Richmond,75,James Madison,87,James Madison
30,2015-11-13,Abilene Christian,94,University of the Southwest,63,Abilene Christian
31,2015-11-13,Boston U.,84,Northeastern,87,Northeastern
32,2015-11-13,Miami (FL),86,UTRGV,59,Miami (FL)
33,2015-11-13,VCU,75,Prairie View A&M,50,VCU
34,2015-11-13,Old Dominion,67,Niagara,50,Old Dominion
35,2015-11-13,Kentucky,78,Albany,65,Kentucky
36,2015-11-13,Indiana State,88,Eastern Ill.,49,Indiana State
37,2015-11-13,Georgia Southern,90,Chattanooga,92,Chattanooga
38,2015-11-13,Eastern Ky.,107,Coppin St.,80,Eastern Ky.
39,2015-11-13,Cincinnati,97,Western Caro.,72,Cincinnati
40,2015-11-13,East Tennessee State,82,UNC Asheville,78,East Tennessee State
41,2015-11-13,Syracuse,57,Lehigh,47,Syracuse
42,2015-11-13,Washington State,85,Louisiana-Lafayette,76,Washington State
